date,home_team,score,away_team
22-08-2021,Kolos Kovalivka,0 - 1,Oleksandria
28-08-2021,Dynamo Kyiv,7 - 0,Kolos Kovalivka
12-09-2021,Kolos Kovalivka,1 - 3,FC Mariupol
18-09-2021,Inhulets,0 - 2,Kolos Kovalivka
24-09-2021,Kolos Kovalivka,0 - 1,Vorskla Poltava
02-10-2021,Kolos Kovalivka,2 - 1,Chornomorets
16-10-2021,Dnipro-1,2 - 0,Kolos Kovalivka
24-10-2021,Zorya Luhansk,1 - 0,Kolos Kovalivka
31-10-2021,Kolos Kovalivka,0 - 1,Lviv
07-11-2021,Kolos Kovalivka,1 - 3,Shakhtar Donetsk
21-11-2021,Desna,0 - 1,Kolos Kovalivka
24-11-2021,Minai,1 - 1,Kolos Kovalivka
28-11-2021,Kolos Kovalivka,1 - 0,Veres Rivne
04-12-2021,Metalist 1925 Kharkiv,0 - 1,Kolos Kovalivka
12-12-2021,Kolos Kovalivka,2 - 1,Minai
23-07-2021,Lviv,1 - 1,FC Mariupol
30-07-2021,Lviv,0 - 3,Shakhtar Donetsk
08-08-2021,Vorskla Poltava,4 - 1,Lviv
15-08-2021,Lviv,1 - 1,Oleksandria
23-08-2021,Lviv,1 - 2,Inhulets
29-08-2021,Rukh Vynnyky,1 - 0,Lviv
13-09-2021,Veres Rivne,1 - 0,Lviv
19-09-2021,Lviv,0 - 0,Metalist 1925 Kharkiv
26-09-2021,Minai,1 - 2,Lviv
02-10-2021,Lviv,0 - 1,Dnipro-1
16-10-2021,Lviv,1 - 4,Dynamo Kyiv
23-10-2021,Chornomorets,1 - 1,Lviv
31-10-2021,Kolos Kovalivka,0 - 1,Lviv
07-11-2021,Lviv,0 - 2,Desna
20-11-2021,Lviv,2 - 1,Zorya Luhansk
26-11-2021,FC Mariupol,0 - 1,Lviv
03-12-2021,Shakhtar Donetsk,6 - 1,Lviv
11-12-2021,Lviv,1 - 1,Vorskla Poltava
25-07-2021,Metalist 1925 Kharkiv,2 - 1,Rukh Vynnyky
30-07-2021,Kolos Kovalivka,1 - 0,Metalist 1925 Kharkiv
06-08-2021,Metalist 1925 Kharkiv,3 - 2,Chornomorets
13-08-2021,Shakhtar Donetsk,2 - 0,Metalist 1925 Kharkiv
20-08-2021,Vorskla Poltava,2 - 0,Metalist 1925 Kharkiv
28-08-2021,Metalist 1925 Kharkiv,1 - 2,Dnipro-1
11-09-2021,Metalist 1925 Kharkiv,0 - 2,Dynamo Kyiv
19-09-2021,Lviv,0 - 0,Metalist 1925 Kharkiv
26-09-2021,Desna,1 - 2,Metalist 1925 Kharkiv
03-10-2021,Metalist 1925 Kharkiv,1 - 0,Minai
16-10-2021,FC Mariupol,1 - 2,Metalist 1925 Kharkiv
22-10-2021,Metalist 1925 Kharkiv,4 - 0,Inhulets
31-10-2021,Metalist 1925 Kharkiv,1 - 6,Zorya Luhansk
05-11-2021,Oleksandria,2 - 0,Metalist 1925 Kharkiv
22-11-2021,Veres Rivne,2 - 0,Metalist 1925 Kharkiv
28-11-2021,Rukh Vynnyky,2 - 0,Metalist 1925 Kharkiv
04-12-2021,Metalist 1925 Kharkiv,0 - 1,Kolos Kovalivka
12-12-2021,Chornomorets,2 - 1,Metalist 1925 Kharkiv
31-07-2021,Minai,1 - 0,Oleksandria
11-08-2021,Dynamo Kyiv,2 - 0,Minai
14-08-2021,Zorya Luhansk,1 - 1,Minai
21-08-2021,Veres Rivne,1 - 0,Minai
29-08-2021,Minai,1 - 1,Shakhtar Donetsk
12-09-2021,Minai,2 - 2,Chornomorets
19-09-2021,Vorskla Poltava,2 - 0,Minai
26-09-2021,Minai,1 - 2,Lviv
03-10-2021,Metalist 1925 Kharkiv,1 - 0,Minai
17-10-2021,Minai,0 - 0,Desna
24-10-2021,Rukh Vynnyky,2 - 2,Minai
01-11-2021,Dnipro-1,4 - 0,Minai
06-11-2021,Minai,0 - 2,FC Mariupol
21-11-2021,Minai,2 - 2,Inhulets
24-11-2021,Minai,1 - 1,Kolos Kovalivka
27-11-2021,Minai,0 - 2,Dynamo Kyiv
05-12-2021,Oleksandria,3 - 0,Minai
12-12-2021,Kolos Kovalivka,2 - 1,Minai
25-07-2021,Zorya Luhansk,0 - 1,Oleksandria
31-07-2021,Minai,1 - 0,Oleksandria
07-08-2021,Shakhtar Donetsk,1 - 2,Oleksandria
15-08-2021,Lviv,1 - 1,Oleksandria
22-08-2021,Kolos Kovalivka,0 - 1,Oleksandria
27-08-2021,Chornomorets,2 - 2,Oleksandria
10-09-2021,Oleksandria,1 - 0,Inhulets
18-09-2021,Dynamo Kyiv,1 - 0,Oleksandria
25-09-2021,Oleksandria,2 - 1,FC Mariupol
03-10-2021,Veres Rivne,0 - 0,Oleksandria
17-10-2021,Oleksandria,1 - 2,Vorskla Poltava
22-10-2021,Desna,1 - 1,Oleksandria
31-10-2021,Rukh Vynnyky,0 - 0,Oleksandria
05-11-2021,Oleksandria,2 - 0,Metalist 1925 Kharkiv
20-11-2021,Dnipro-1,3 - 1,Oleksandria
29-11-2021,Oleksandria,0 - 1,Zorya Luhansk
05-12-2021,Oleksandria,3 - 0,Minai
11-12-2021,Oleksandria,1 - 2,Shakhtar Donetsk
25-07-2021,Metalist 1925 Kharkiv,2 - 1,Rukh Vynnyky
01-08-2021,Vorskla Poltava,2 - 0,Rukh Vynnyky
07-08-2021,Rukh Vynnyky,2 - 1,Veres Rivne
15-08-2021,Kolos Kovalivka,1 - 1,Rukh Vynnyky
21-08-2021,Dnipro-1,2 - 0,Rukh Vynnyky
29-08-2021,Rukh Vynnyky,1 - 0,Lviv
11-09-2021,Rukh Vynnyky,1 - 1,Zorya Luhansk
17-09-2021,Desna,1 - 0,Rukh Vynnyky
25-09-2021,Rukh Vynnyky,0 - 2,Dynamo Kyiv
01-10-2021,FC Mariupol,0 - 2,Rukh Vynnyky
24-10-2021,Rukh Vynnyky,2 - 2,Minai
31-10-2021,Rukh Vynnyky,0 - 0,Oleksandria
06-11-2021,Chornomorets,4 - 3,Rukh Vynnyky
20-11-2021,Shakhtar Donetsk,2 - 0,Rukh Vynnyky
28-11-2021,Rukh Vynnyky,2 - 0,Metalist 1925 Kharkiv
04-12-2021,Rukh Vynnyky,0 - 0,Vorskla Poltava
11-12-2021,Veres Rivne,1 - 1,Rukh Vynnyky
24-07-2021,Shakhtar Donetsk,2 - 1,Inhulets
30-07-2021,Lviv,0 - 3,Shakhtar Donetsk
07-08-2021,Shakhtar Donetsk,1 - 2,Oleksandria
13-08-2021,Shakhtar Donetsk,2 - 0,Metalist 1925 Kharkiv
21-08-2021,Chornomorets,0 - 3,Shakhtar Donetsk
29-08-2021,Minai,1 - 1,Shakhtar Donetsk
11-09-2021,Shakhtar Donetsk,2 - 0,Dnipro-1
18-09-2021,FC Mariupol,0 - 5,Shakhtar Donetsk
25-09-2021,Shakhtar Donetsk,4 - 1,Veres Rivne
03-10-2021,Dynamo Kyiv,0 - 0,Shakhtar Donetsk
15-10-2021,Shakhtar Donetsk,6 - 1,Zorya Luhansk
23-10-2021,Vorskla Poltava,0 - 2,Shakhtar Donetsk
30-10-2021,Shakhtar Donetsk,4 - 1,Desna
07-11-2021,Kolos Kovalivka,1 - 3,Shakhtar Donetsk
20-11-2021,Shakhtar Donetsk,2 - 0,Rukh Vynnyky
28-11-2021,Inhulets,0 - 1,Shakhtar Donetsk
03-12-2021,Shakhtar Donetsk,6 - 1,Lviv
11-12-2021,Oleksandria,1 - 2,Shakhtar Donetsk
24-07-2021,Veres Rivne,0 - 0,Kolos Kovalivka
01-08-2021,Dynamo Kyiv,4 - 0,Veres Rivne
07-08-2021,Rukh Vynnyky,2 - 1,Veres Rivne
14-08-2021,Veres Rivne,1 - 1,Vorskla Poltava
21-08-2021,Veres Rivne,1 - 0,Minai
29-08-2021,Desna,0 - 4,Veres Rivne
13-09-2021,Veres Rivne,1 - 0,Lviv
18-09-2021,Dnipro-1,1 - 0,Veres Rivne
25-09-2021,Shakhtar Donetsk,4 - 1,Veres Rivne
03-10-2021,Veres Rivne,0 - 0,Oleksandria
18-10-2021,Chornomorets,0 - 1,Veres Rivne
23-10-2021,Veres Rivne,2 - 0,FC Mariupol
30-10-2021,Inhulets,0 - 0,Veres Rivne
07-11-2021,Zorya Luhansk,3 - 0,Veres Rivne
22-11-2021,Veres Rivne,2 - 0,Metalist 1925 Kharkiv
28-11-2021,Kolos Kovalivka,1 - 0,Veres Rivne
04-12-2021,Veres Rivne,0 - 3,Dynamo Kyiv
11-12-2021,Veres Rivne,1 - 1,Rukh Vynnyky
26-07-2021,Vorskla Poltava,2 - 2,Dnipro-1
01-08-2021,Vorskla Poltava,2 - 0,Rukh Vynnyky
08-08-2021,Vorskla Poltava,4 - 1,Lviv
14-08-2021,Veres Rivne,1 - 1,Vorskla Poltava
20-08-2021,Vorskla Poltava,2 - 0,Metalist 1925 Kharkiv
29-08-2021,Zorya Luhansk,1 - 0,Vorskla Poltava
12-09-2021,Vorskla Poltava,2 - 2,Desna
19-09-2021,Vorskla Poltava,2 - 0,Minai
24-09-2021,Kolos Kovalivka,0 - 1,Vorskla Poltava
